IMIĘ 1,Liczba
PIOTR,700289
KRZYSZTOF,659470
ANDRZEJ,578355
TOMASZ,541293
JAN,516599
PAWEŁ,512682
MICHAŁ,486736
MARCIN,453552
STANISŁAW,414147
JAKUB,399271
ADAM,398735
MAREK,397430
ŁUKASZ,385363
GRZEGORZ,384716
MATEUSZ,371835
WOJCIECH,328064
MARIUSZ,293496
DARIUSZ,293205
ZBIGNIEW,289308
JERZY,273017
MACIEJ,266186
RAFAŁ,263844
ROBERT,263140
JÓZEF,251742
KAMIL,248920
JACEK,239516
TADEUSZ,234145
DAWID,231469
RYSZARD,231047
SZYMON,218992
KACPER,211049
JANUSZ,198174
BARTOSZ,197650
JAROSŁAW,196644
MIROSŁAW,192522
SŁAWOMIR,192413
HENRYK,191128
ARTUR,187882
SEBASTIAN,184270
DAMIAN,183396
PATRYK,177497
KAZIMIERZ,171883
PRZEMYSŁAW,166498
DANIEL,165356
KAROL,163179
ROMAN,159113
MARIAN,155407
WIESŁAW,153553
ANTONI,147920
FILIP,147756
ADRIAN,145826
ARKADIUSZ,135285
ALEKSANDER,129096
DOMINIK,128381
BARTŁOMIEJ,123183
LESZEK,122620
FRANCISZEK,120771
WALDEMAR,114926
MIKOŁAJ,113922
ZDZISŁAW,110727
KRYSTIAN,110639
RADOSŁAW,103900
WIKTOR,103429
BOGDAN,102611
EDWARD,97085
MIECZYSŁAW,93660
KONRAD,90698
WŁADYSŁAW,90553
HUBERT,84321
CZESŁAW,82138
IGOR,76382
EUGENIUSZ,75083
OSKAR,67307
STEFAN,66192
BOGUSŁAW,64976
ZYGMUNT,63650
IRENEUSZ,63396
MARCEL,61052
WITOLD,57917
MAKSYMILIAN,56685
SYLWESTER,56191
MIŁOSZ,54671
WŁODZIMIERZ,52884
ZENON,49554
ALAN,44642
OLIWIER,44037
CEZARY,43894
NIKODEM,40734
NORBERT,40147
LEON,38076
GABRIEL,34652
JULIAN,34110
BŁAŻEJ,32016
OLEKSANDR,29901
FABIAN,29140
BRONISŁAW,28361
IGNACY,27790
EMIL,27559
ERYK,27508
WACŁAW,27190
TYMOTEUSZ,26913
LECH,26503
BOLESŁAW,23960
TYMON,22445
BERNARD,19887
EDMUND,19300
SERHII,18945
VOLODYMYR,18851
ANDRII,18692
REMIGIUSZ,18354
KSAWERY,17755
NATAN,17184
LUCJAN,16410
OLAF,15998
ROMUALD,15944
BORYS,15082
KAJETAN,14778
SZCZEPAN,14018
ALBERT,13689
SEWERYN,13575
GRACJAN,13502
ALFRED,13351
KUBA,13292
DMYTRO,13100
TOBIASZ,13096
IVAN,12753
LUDWIK,12185
JOACHIM,11663
MYKOLA,11628
LESŁAW,11371
BOGUMIŁ,11212
VASYL,11002
GERARD,10991
VITALII,10984
ERNEST,10833
MAKSYM,10676
IHOR,10628
BRUNO,10059
FELIKS,10058
KORNEL,9970
OLIVIER,9927
JĘDRZEJ,9551
YURII,9384
ALOJZY,9228
VIKTOR,9139
OLEH,8997
ALEXANDER,8935
ALEX,8500
MYKHAILO,8362
BOHDAN,8280
JULIUSZ,8024
LEONARD,8005
KLAUDIUSZ,7823
DAVID,7429
BENEDYKT,7166
ALEKS,6905
DORIAN,6775
RAJMUND,6737
TEODOR,6305
CYPRIAN,6176
MARTIN,6165
OLIVER,6094
OLEKSII,6083
VLADYSLAV,5978
RUDOLF,5921
NATANIEL,5902
KONSTANTY,5762
RUSLAN,5741
DENIS,5667
HIERONIM,5510
BRAJAN,5459
GUSTAW,5354
MICHAEL,5269
WINCENTY,5154
SAMUEL,5006
ZYGFRYD,4946
MARCELI,4931
PAVLO,4852
FLORIAN,4840
ERWIN,4730
MIESZKO,4666
KEVIN,4531
FRYDERYK,4528
ARIEL,4501
DENYS,4385
ANATOLII,4375
IWO,4349
VADYM,4312
MILAN,4302
ARTEM,4285
ALEKSY,4266
PETRO,4228
BENIAMIN,4071
ROLAND,4042
SERGIUSZ,4024
WALENTY,4005
YAROSLAV,4005
KORDIAN,3903
ADOLF,3699
OLEG,3688
AUGUSTYN,3588
YEVHEN,3569
AMADEUSZ,3546
TARAS,3529
ANTON,3519
BRUNON,3490
JEREMI,3482
OLGIERD,3468
LEOPOLD,3362
VALERII,3323
PATRICK,3290
ALIAKSANDR,3275
EMILIAN,3253
KEWIN,3181
MAXIMILIAN,3146
HERBERT,3065
SERGII,3063
ALFONS,3061
ALBIN,3056
ANDREI,3041
YEVHENII,3018
THOMAS,2943
ARNOLD,2928
OLIWER,2866
OSCAR,2859
WILHELM,2826
NICOLAS,2801
VICTOR,2641
VIACHESLAV,2638
STANISLAV,2622
ANATOL,2562
MAURYCY,2556
HELMUT,2529
WALTER,2433
GINTER,2432
OKTAWIAN,2381
MANFRED,2355
PETER,2353
EDWIN,2352
TEOFIL,2348
SIARHEI,2341
ANDRIY,2321
KOSTIANTYN,2301
EMANUEL,2290
KORNELIUSZ,2221
WERNER,2213
JEREMIASZ,2198
JONASZ,2135
WALERIAN,2119
STEPAN,2112
KRYSPIN,2107
JONATAN,2014
CHRISTIAN,1988
LECHOSŁAW,1975
KASPER,1965
NATHAN,1941
ZIEMOWIT,1919
VALENTYN,1914
DZMITRY,1870
XAVIER,1862
BENJAMIN,1836
NIKOLAS,1826
MARK,1823
LEO,1801
KLEMENS,1757
FERDYNAND,1742
JACOB,1738
PATRYCJUSZ,1727
TYTUS,1727
MIRON,1720
LONGIN,1709
NAZAR,1694
MAX,1689
ARON,1629
EDUARD,1627
IURII,1622
PAVEL,1622
KSAWIER,1612
PAUL,1607
HORST,1557
YURIY,1557
LEONID,1546
ILLIA,1542
WAWRZYNIEC,1534
HUGO,1513
JACENTY,1508
MATTHEW,1478
PHILIP,1471
ANDREAS,1430
CHRISTOPHER,1398
ELIASZ,1398
IZYDOR,1395
DIONIZY,1393
ŁUCJAN,1352
EWALD,1317
GERHARD,1293
ELIGIUSZ,1290
JOHN,1283
ANTHONY,1281
MARCO,1280
ROCH,1267
JAROMIR,1257
KASJAN,1251
MYKHAYLO,1242
SIMON,1212
MAKS,1209
RAFAEL,1194
BRIAN,1182
MOHAMED,1159
RADOMIR,1118
ROSTYSLAV,1118
BAZYLI,1106
NICHOLAS,1102
ZBYSŁAW,1100
JONATHAN,1083
VINCENT,1071
ALI,1067
WIT,1059
ULADZIMIR,1057
YURY,1057
SERHIY,1051
VITALIY,1051
VITALI,1038
KOSMA,1009
ANTONIO,1007
ROGER,1006
ALIAKSEI,1004
RICHARD,998
DENNIS,974
WILLIAM,958
BONIFACY,948
MARKUS,926
LUKAS,916
MAKSIM,912
DANYLO,905
JORDAN,889
ION,879
MYKYTA,877
NAZARII,877
VIKTAR,877
ERIC,876
AUGUST,874
KYRYLO,868
ZBYSZEK,868
HENNADII,861
OREST,861
LUCAS,860
MIKHAIL,858
PASCAL,852
CYRYL,844
VLADIMIR,838
YAUHENI,837
JAMES,836
AARON,835
ANDREW,832
FRANK,828
LEONARDO,823
MARIO,821
BRAYAN,820
KLAUS,815
BOGUSZ,808
DOMINIC,797
IHAR,790
WOLFGANG,790
ALEH,788
DIEGO,784
AHMED,771
ARTHUR,757
DONAT,756
ERIK,742
NIKITA,741
DYMITR,737
HERONIM,737
ALLAN,736
BRYAN,732
CARLOS,728
MATTEO,717
LUBOMIR,715
SERGIY,715
JOSEPH,710
KURT,704
HRYHORII,692
ALESSANDRO,689
IVO,686
BENON,684
ALEKSANDR,681
DIETER,680
NATHANIEL,676
FRANCESCO,675
LUCA,674
MIKALAI,673
AURELIUSZ,666
GIORGI,660
EUZEBIUSZ,652
JUAN,649
MYROSLAV,645
EDGAR,639
MANUEL,639
JOSE,637
VALERY,636
ALEXANDRE,635
MEHMET,624
MAXYMILIAN,623
AMIR,620
ZBYSZKO,620
HANS,618
JAKOB,618
JOSHUA,615
YEHOR,615
DANIIL,612
OMAR,612
RYAN,606
KARIM,603
MARKO,601
ROBERTO,592
ANATOLIY,589
GNIEWOMIR,588
LUIS,586
HILARY,579
CHRYSTIAN,573
JUSTIN,573
COLIN,569
HERMAN,568
IAN,562
LIUBOMYR,551
ANATOLI,549
JANUARY,548
IEVGEN,547
ARMIN,546
MATTHIAS,545
MAXIM,542
SVIATOSLAV,539
DZIANIS,536
NARCYZ,536
PHILIPP,536
IDZI,535
ZACHARIASZ,534
MIHAIL,532
RICARDO,532
RAJNOLD,531
TRISTAN,529
REINHOLD,527
ANDREA,525
MUSTAFA,522
BARTEK,518
ANGELO,515
FELIX,514
HARALD,514
KAI,513
ZENOBIUSZ,513
RONALD,506
MOHAMMAD,501
JUSTYN,495
NOAH,495
IAROSLAV,493
CRISTIAN,488
ULADZISLAU,488
WALERY,486
KRISTIAN,480
LIAM,478
MOHAMMED,474
SERGHEI,474
GIUSEPPE,472
PABLO,472
MUHAMMAD,469
GEORGE,466
YAN,465
CEZARIUSZ,462
RAMAN,462
VASILE,461
CASPER,459
MICHEL,459
IBRAHIM,458
IWAN,458
HENRY,454
ALEXANDRU,453
AXEL,453
APOLINARY,452
MICHAL,452
TOBIAS,452
RUBEN,451
ENGELBERT,450
ALEXANDR,448
TOM,447
JURAND,446
JUREK,446
GIOVANNI,444
JORGE,443
NICOLAE,442
CHRISTOPH,441
KRYSTYN,439
KARL,437
TYCJAN,437
JOEL,436
JOSEF,436
DYLAN,434
STEVEN,434
HEINZ,433
ALEJANDRO,431
MARCUS,429
MIGUEL,429
FABIO,428
